POOLID,SIZE,OFFSET,LENGTH
60,0.000748312,0,0.027411848
60,0.011206013,0,0.035966273
60,0.01351253,0,0.036040774
60,0.013575978,0,0.036049539
60,0.022460546,0,0.026706283
60,0.022460546,0,0.02673696
60,0.022460546,0,0.026789549
60,0.022460546,0,0.026811461
60,0.022460546,0,0.026903491
60,0.022460546,0,0.02693855
60,0.022460546,0,0.026973609
60,0.022460546,0,0.026977992
60,0.022460546,0,0.027026198
27,0.02973839,0.750902793,0.004619039
60,0.065620026,0,0.076617321
60,0.065620026,0,0.076634851
60,0.065620026,0,0.076700586
60,0.065620026,0,0.076713734
60,0.065620026,0,0.076713734
60,0.065620026,0,0.076722498
60,0.065620026,0,0.076726881
60,0.065620026,0,0.07676194
60,0.065620026,0,0.076779469
60,0.065620026,0,0.076783852
60,0.065620026,0,0.076796999
60,0.065620026,0,0.076814528
60,0.065620026,0,0.076818911
60,0.065620026,0,0.07683644
60,0.065620026,0,0.076840823
60,0.065620026,0,0.076893412
60,0.065620026,0,0.076893412
60,0.065620026,0,0.076915323
60,0.065620026,0,0.076928471
60,0.065620026,0,0.076928471
60,0.065620026,0,0.076928471
60,0.065620026,0,0.076941618
60,0.065620026,0,0.076959147
60,0.065620026,0,0.076967912
60,0.065620026,0,0.076976677
60,0.065620026,0,0.076985442
60,0.065620026,0,0.077011736
60,0.065620026,0,0.077020501
60,0.065620026,0,0.077020501
60,0.065620026,0,0.077029266
60,0.065620026,0,0.077033648
60,0.065620026,0,0.077042413
60,0.065620026,0,0.077042413
60,0.065620026,0,0.077042413
60,0.065620026,0,0.077068707
60,0.065620026,0,0.077073089
60,0.065620026,0,0.077081854
60,0.065620026,0,0.077090619
60,0.065620026,0,0.077090619
60,0.065620026,0,0.077095001
60,0.065620026,0,0.077095001
60,0.065620026,0,0.077099384
60,0.065620026,0,0.077116913
60,0.065620026,0,0.077121296
60,0.065620026,0,0.077121296
60,0.065620026,0,0.077121296
60,0.065620026,0,0.077121296
60,0.065620026,0,0.077130061
60,0.065620026,0,0.077134443
60,0.065620026,0,0.077134443
60,0.065620026,0,0.077138825
60,0.065620026,0,0.077169502
60,0.065620026,0,0.077169502
60,0.065620026,0,0.077169502
60,0.065620026,0,0.077173884
60,0.065620026,0,0.077178267
60,0.065620026,0,0.077178267
60,0.065620026,0,0.077178267
60,0.065620026,0,0.077182649
60,0.065620026,0,0.077191414
60,0.065620026,0,0.077195796
60,0.065620026,0,0.077204561
60,0.065620026,0,0.077217708
60,0.065620026,0,0.077222091
60,0.065620026,0,0.077222091
60,0.065620026,0,0.077230856
60,0.065620026,0,0.077235238
60,0.065620026,0,0.077235238
60,0.065620026,0,0.077248385
60,0.065620026,0,0.077252767
60,0.065620026,0,0.077265915
60,0.065620026,0,0.077270297
60,0.065620026,0,0.077283444
60,0.065620026,0,0.077292209
60,0.065620026,0,0.077300974
60,0.065620026,0,0.077309739
60,0.065620026,0,0.077318503
60,0.065620026,0,0.077344798
60,0.065620026,0,0.077371092
60,0.065620026,0,0.077379857
60,0.065620026,0,0.077388622
60,0.065620026,0,0.077414916
60,0.065620026,0,0.077445593
60,0.065620026,0,0.077506946
60,0.065620026,0,0.077756742
24,0.072248462,0,0.195323114
24,0.07299864,0,0.197084834
24,0.073024765,0,0.197146188
24,0.073112473,0,0.19735216
24,0.073131134,0,0.197395984
24,0.073138598,0,0.197413514
24,0.073162858,0,0.197470485
24,0.073164724,0,0.197474867
24,0.07317592,0,0.197501161
24,0.073213243,0,0.197588809
24,0.073476365,0,0.198206726
24,0.073534214,0,0.19834258
24,0.073586465,0,0.198465287
24,0.073636851,0,0.198583612
24,0.073713361,0,0.19876329
24,0.073746951,0,0.198842173
24,0.073784274,0,0.19892982
24,0.073804801,0,0.198978027
24,0.073883178,0,0.199162087
60,0.082286288,0,0.001038626
60,0.082286288,0,0.001064921
60,0.082286288,0,0.001086833
60,0.082286288,0,0.001091215
60,0.082286288,0,0.001288423
60,0.082286288,0,0.001319099
60,0.082286288,0,0.001354158
60,0.082286288,0,0.001380453
60,0.082286288,0,0.001428659
60,0.082286288,0,0.001454953
